ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA	AÑO	TIPO DE BIBLIOGRAFIA	Disponibilidad	COPIAS DISPONIBLES	NRO DE BIB#
Metodologías de Investigación en Psicología	201 – semestre 1	Kerlinger, F. (1984) Investigación del comportamiento. México: Editorial Interamericana.(Segunda Edición, Parte 6 capítulos 17, 18, 19, 20, 21, y Parte 7 Capítulos 22, 23 y 24)	1984	OBLIGATORIA	DISPONIBLE	1	4774
Metodologías de Investigación en Psicología	201 – semestre 1	Campbell D. y Stanley J. (1988). Diseños experimentales y cuasiexpermentales en la investigación social. Buenos Aires: Amorrortu editores. (pág. 9 – 110)	1988	OBLIGATORIA	DISPONIBLE	11	7316
Metodologías de Investigación en Psicología	201 – semestre 1	León, O. E Montero, I. (1993). Diseños de investigaciones. España: McGraw-Hill. (Capítulo 4, 5, 6, 7, 8 y 9)	1993	OBLIGATORIA	NO disponible	0	
Inglés III	201 – semestre 3						
Desarrollo Personal y Profesional II	201- semestre 1	Albert, L. S. (1991). Las relaciones interpersonales: Manual del animador. Barcelona: Herder.	1991	NO INDICA	DISPONIBLE	1	13072
Desarrollo Personal y Profesional II	201- semestre 10	Steiner, C. P. (1998). La educacion emocional. Javier Vergara: Buenos Aires.	1998	NO INDICA	DISPONIBLE	1	11153
Desarrollo Personal y Profesional II	201- semestre 11	Stevens, J. O. (1988). El darse cuenta : Sentir, imaginar, vivenciar. Santiago, Chile: Cuatro Vientos.	1988	NO INDICA	DISPONIBLE	3	8967-25111
Desarrollo Personal y Profesional II	201- semestre 2	Alejandro López, A. P. (1995). Introducción a la psicología de la comunicación : textos y ejercicios. Santiago, Chile : Universidad Católica de Chile.	1995	NO INDICA	DISPONIBLE	4	2868
Desarrollo Personal y Profesional II	201- semestre 3	D. . (2007). Educación socioafectiva : 150 actividades para conocerse, comunicarse y aprender de los conflictos. Madrid: Narcea .	2007	NO INDICA	DISPONIBLE	1	22635
Desarrollo Personal y Profesional II	201- semestre 4	Feldman, J. R. (2005). Autoestima, cómo desarrollarla? : juegos, actividades, recursos, experiencias creativas. Madrid : Narcea.	2005	NO INDICA	DISPONIBLE	1	22503
Desarrollo Personal y Profesional II	201- semestre 5	Goleman, D. (1996). La inteligencia emocional. Buenos Aires : Javier Vergara,.	1996	NO INDICA	DISPONIBLE	4	9007-27107
Desarrollo Personal y Profesional II	201- semestre 6	Ruiz, A. (1994). Como ayudarse a uno mismo : Aplicaciones de la terapia cognitiva, para superar los problemas emocionales de la vida diaria. Santiago, Chile: San Pablo.	1994	NO INDICA	DISPONIBLE	2	7770
Desarrollo Personal y Profesional II	201- semestre 7	Ruiz, A. (1996). Tus problemas : el sicólogo responde. Santiago, Chile: San Pablo.	1996	NO INDICA	DISPONIBLE	1	10195
Desarrollo Personal y Profesional II	201- semestre 8	Segal, J. (1998). Su inteligencia emocional : Aprenda a incrementarla y a usarla. Barcelona : Grijalbo.	1998	NO INDICA	DISPONIBLE	1	9967
Desarrollo Personal y Profesional II	201- semestre 9	Sergio Rulicki, M. C. (2007). CNV - Comunicación No-Verbal : cómo la inteligencia emocional se expresa a través de los gestos. Buenos Aires, Argentina : Ediciones Granica.	2007	NO INDICA	DISPONIBLE	3	22758
Análisis Cuantitativo 2	202 – semestre 2	Cooligan H. (2004). Métodos de investigación y estadística en psicología. Segunda Edición. Editorial El Manual Moderno S.A. de C.V. México.	2004	OBLIGATORIA	NO disponible	0	
Análisis Cuantitativo 2	202 – semestre 2	Hernández R.; Fernández, C. & Baptista, P. (2003). Metodología de la investigación, 3. ed. México D.F.: McGraw-Hill.	2003	OBLIGATORIA	DISPONIBLE	37	5098 - 22516 - 25115 - 25859 - 28759
Análisis Cuantitativo 2	202 – semestre 2	Kerlinger, F. (1984) Investigación del comportamiento. México: Editorial Interamericana.(Segunda Edición, Parte 6 capítulos 17, 18, 19, 20, 21, y Parte 7 Capítulos 22, 23 y 24)	1984	OBLIGATORIA	DISPONIBLE	1	4774
Análisis Cuantitativo 2	202 – semestre 2	Guilford, J.P. & Fruchter, B. Estadística aplicada a la psicología y a la educación. Bogotá. Editorial Mc Graw Hill Latinoamericana S.A.		OBLIGATORIA	DISPONIBLE	8	1754
Análisis Cuantitativo 2	202 – semestre 2	Pérez, C. (2001). Técnicas de Estadísticas con SPSS. Pearson Educación.	2001	OBLIGATORIA	NO disponible	0	
Teorías Sistémicas	202 – semestre 2	- Watzlawick, Paul; Beavin, Janet; Jackson, D.(1997). Teoria de la comunicación humana. Undécima edición. Ed. Herder.153.6 W353t.	1997	OBLIGATORIA	DISPONIBLE	2	13176
Teorías Sistémicas	202 – semestre 2	- Echeverría, Rafael. (2003). Ontologia del lenguaje. Sexta edición.	2003	OBLIGATORIA	DISPONIBLE	3	25855-10488
Teorías Sistémicas	202 – semestre 2	- Kenney, B. Estética del cambio. (1990). Editoral Paidós.	1990	OBLIGATORIA	NO disponible	0	
Teorías Sistémicas	202 – semestre 2	Serebrinsky, H. (2009). Un viaje circular.Editorial de los 4 vientos	2009	OBLIGATORIA	NO disponible	0	
Inglés IV	202 – semestre 4						
Análisis Cuantitativo	301 – semestre 1	Delgado, J. (1995), Métodos y Técnicas Cualitativas de Investigación en Ciencias Sociales; Editorial Síntesis S.A, España.Ibáñez, J. (1991), El Regreso del Sujeto; Editorial Amerinda; Santiago.	1995	OBLIGATORIA	DISPONIBLE	19	3649
Análisis Cuantitativo	301 – semestre 1	Ibáñez, J. (1991), El Regreso del Sujeto; Editorial Amerinda; Santiago.	1991	OBLIGATORIA	DISPONIBLE	1	14922
Análisis Cuantitativo	301 – semestre 1	Rodríguez, G.; Gil, J. y García, E. (1996). Tradición y enfoques en la investigación cualitativa. México: Ediciones Aljibe, S. L.	1996	OBLIGATORIA	DISPONIBLE	5	20908
Análisis Cuantitativo	301 – semestre 1	Perez Serrano, Gloria (1998), Metodología de la Investigación Cualitativa, Retos e Interrogantes, Tomo I y II.	1998	OBLIGATORIA	NO disponible	0	
Habilidades Sociales y Comunicación	301 – semestre 1						
Evaluación Psicométrica	301 – semestre 1	Bender, L. (s.f.). Test Gestáltico Psicomotor: Usos y aplicaciones clínicas. Buenos Aires: Paidos.		NO INDICA	NO disponible	0	
Evaluación Psicométrica	301 – semestre 1	Cattaneo, B. (2005). Informe psicológico: Elaboración y características en diferentes ámbitos. Buenos Aires: Eudeba.	2005	NO INDICA	NO disponible	0	
Evaluación Psicométrica	301 – semestre 1	Cormier, H., & Sheilyn, L. (s.f.). Estrategias de entrevista para terapeutas. Desclee De Brouwer.		NO INDICA	NO disponible	0	
Evaluación Psicométrica	301 – semestre 1	Doll, E. (2012). Escala de madurez social de Vineland: Adapatación Chilena. Dwarf.	2012	NO INDICA	NO disponible	0	
Evaluación Psicométrica	301 – semestre 1	Golden, C. (2010). Test de colores y palabras de Stroop. España: Tea Ediciones.	2010	NO INDICA	NO disponible	0	
Evaluación Psicométrica	301 – semestre 1	Lobos, A. (s.f.). Examen Cognoscitivo Mini-Mental. España: Tea Ediciones.		NO INDICA	NO disponible	0	
Evaluación Psicométrica	301 – semestre 1	Margarita Haeussler, T. M. (s.f.). Test de desarrollo Psicomotor de 2-5 años. Santiago: Universidad Católica.		NO INDICA	NO disponible	0	
Evaluación Psicométrica	301 – semestre 1	Ocampo, M. S., Arceno, M. G., & Pícolo, E. G. (s.f.). Técnicas proyectivas y el proceso Psicodiagnóstico. Buenos Aires: Nueva Visión.		NO INDICA	NO disponible	0	
Evaluación Psicométrica	301 – semestre 1	Rey, A. (s.f.). Test de copia y reproducción de memoria y figuras geométricas complejas. España: Tea Ediciones .		NO INDICA	NO disponible	0	
Evaluación Psicométrica	301 – semestre 1	Soledad Rodríguez, V. A. (s.f.). Escala de desarrollo psicomotor de 0 a 24 meses (EEDP). Galdoc.		NO INDICA	DISPONIBLE	5	14647
Evaluación Psicométrica	301 – semestre 1	Valeria Ramírez, R. R. (2009). Test de Inteligencia para niños de Weschler III: Manual de administración y puntuación. Normas de estandarización chilena. Santiago: Ediciones Universidad Católica.	2009	NO INDICA	NO disponible	0	
Evaluación Psicométrica	301 – semestre 1	Weschler. (2014). La Escala Wechsler de Inteligencia para Adultos - Cuarta edición . Santiago: Ediciones Universidad Católica	2014	NO INDICA	DISPONIBLE	8	1965
Problemáticas Psicosociales Complejas	301- semestre 1	Baró, I. M. (2003). Poder, Ideología y Violencia. Madrid, España. Ed. Trotta.	2003	OBLIGATORIA	DISPONIBLE	1	24934
Problemáticas Psicosociales Complejas	301- semestre 10	Salazar, M.(1999). Psicología Social. Ciudad de México, Mexico. Ed. Trillas	1999	OBLIGATORIA	NO disponible	0	
Problemáticas Psicosociales Complejas	301- semestre 2	Barón, R. & Byrne, D. (2005). Psicología Social. Madrid, España. Ed. Pearson.	2005	OBLIGATORIA	DISPONIBLE	5	21210-14300
Problemáticas Psicosociales Complejas	301- semestre 3	Barra, E. (1998). Psicología Social. Concepción, Chile.  Universidad de Concepción.	1998	OBLIGATORIA	NO disponible	0	
Problemáticas Psicosociales Complejas	301- semestre 4	Cooper, D. (1994). Delincuencia Común en Chile. Santiago, Chile. Ed. LOM.	1994	OBLIGATORIA	DISPONIBLE	1	2177
Problemáticas Psicosociales Complejas	301- semestre 5	Fichter, J. (1994). Sociología. Barcelona, España. Ed. Herder.	1994	OBLIGATORIA	DISPONIBLE	1	13152
Problemáticas Psicosociales Complejas	301- semestre 6	Montero, M. (1994). Construcción y Crítica de la Psicología Social. Caracas, Venezuela. Ed. Antrophos.	1994	OBLIGATORIA	DISPONIBLE	1	17547
Problemáticas Psicosociales Complejas	301- semestre 8	Moulian, T. (2002). Anatomía de Un Mito. Santiago de Chile, Ed. LOM.	2002	OBLIGATORIA	NO disponible	0	
Problemáticas Psicosociales Complejas	301- semestre 9	Pérez Soto, C. (1996). Sobre la Condición Social de la Psicología. Santiago de Chile, Ed. LOM.	1996	OBLIGATORIA	DISPONIBLE	1	11736
Construcción de Pruebas e Instrumentos de Evaluación	302 – semestre 2	KERLINGER. F. (1985). Investigación del comportamiento. New York, Editorian Mc Graw Hill.	1985	OBLIGATORIA	DISPONIBLE	1	4774
Construcción de Pruebas e Instrumentos de Evaluación	302 – semestre 2	GUILFORD, J.P. & FRUCHTER, B. Estadística aplicada a la psicología y a la educación. Bogotá. Editorial Mc Graw Hill Latinoamericana S.A.		OBLIGATORIA	DISPONIBLE	8	1754
Construcción de Pruebas e Instrumentos de Evaluación	302 – semestre 2	Nunnally, J.C. (1995) Teoría psicométrica. 3.ed. México : McGraw-Hill.	1995	OBLIGATORIA	DISPONIBLE	3	28267
Construcción de Pruebas e Instrumentos de Evaluación	302 – semestre 2	Taylor, S. J.; Bogdan, R. (1990). Introducción a los métodos cualitativos de investigación. Buenos Aires: Paidós.	1990	OBLIGATORIA	DISPONIBLE	3	14927
Gestión de Personas y Desarrollo Organizacional	302 – semestre 2	Rodríguez, D. (2001). Gestión Organizacional. Ediciones Universidad Católica de Chile, Stgo., Chile	2001	NO INDICA	DISPONIBLE	6	7529
Gestión de Personas y Desarrollo Organizacional	302 – semestre 2	Pereda, S. y Berrocal, F. (1999). Gestión de Recursos Humanos por Competencias. Editorial Centro de Estudios Ramón Areces, S.A.,España	1999	NO INDICA	NO disponible	0	
Gestión de Personas y Desarrollo Organizacional	302 – semestre 2	López - Mejías, F. (2002). Psicología de las Organizaciones. Prentice/ Hall Internacional.	2002	NO INDICA	NO disponible	0	
Gestión de Personas y Desarrollo Organizacional	302 – semestre 2	De La Plaza, Javiera. (2009). La Inteligencia Asertiva. Aguilar Chilena de Ediciones S.A. Chile.	2009	NO INDICA	DISPONIBLE	1	24080
Gestión de Personas y Desarrollo Organizacional	302 – semestre 2	Campbell, Susan. (1997). Del Caos a la Confianza. Paidós. Argentina.	1997	NO INDICA	DISPONIBLE	1	14130
Gestión de Personas y Desarrollo Organizacional	302 – semestre 2	Alcover, C., Martínez, D., Rodríguez, F., Domínguez, R. Introducción a la Psicología del Trabajo. McGraw-Hill. España.		NO INDICA	DISPONIBLE	2	22760
Construcción y Evaluación de Proyectos.	401 – semestre 1	Ander-Egg, E.; Aguilar Idañez, M.J. (1995). Cómo elaborar un proyecto; Guíapara diseñar proyectos sociales y culturales. Buenos Aires: Lumen.	1995	OBLIGATORIA	DISPONIBLE	3	1208
Construcción y Evaluación de Proyectos.	401 – semestre 1	Baca Urbina, G. (2001). Evaluación de Proyectos. Mexico: McGraw-Hill Interamericana.	2001	OBLIGATORIA	DISPONIBLE	2	22553
Construcción y Evaluación de Proyectos.	401 – semestre 1	Cerda Gutierrez, H. (1995). Cómo elaborar proyectos; Diseño, ejecución y evaluación de proyectos sociales y educativos. Bogotá: Magisterio.	1995	OBLIGATORIA	DISPONIBLE	2	11713
Construcción y Evaluación de Proyectos.	401 – semestre 1	Pereña Brand, J. (1996). Dirección y gestión de proyectos. Madrid: Díaz de Santos.	1996	OBLIGATORIA	DISPONIBLE	1	619
Construcción y Evaluación de Proyectos.	401 – semestre 1	Pérez Serrano, G. (1993). Elaboración de proyectos sociales; Casosprácticos. Madrid: Nancea.	1993	OBLIGATORIA	NO disponible	0	
Construcción y Evaluación de Proyectos.	401 – semestre 1	Tejada Fernández, J. (2002). Evaluación de Programas. Barcelona: Praxis.	2002	OBLIGATORIA	NO disponible	0	
Psicología y Cine	401 – semestre 1	Martínez, A. (1997) Cine: Diccionario Espasa. Madrid, España: Espasa Calpe	1997	NO INDICA	DISPONIBLE	1	16607
Psicología y Cine	401 – semestre 1			NO INDICA	DISPONIBLE	2	14993
Ética Profesional	401 – semestre 1	Bauman, Z. (2004). Ética posmoderna. Buenos Aires: Siglo XXI.	2004	OBLIGATORIA	NO disponible	0	
Ética Profesional	401 – semestre 1	Colegio de Psicólogos de Chile (1999). Código de ética profesional. Santiago, Chile.	1999	OBLIGATORIA	NO disponible	0	
Ética Profesional	401 – semestre 1	Montero, M. (2004). Introducción a la psicología comunitaria. Buenos Aires: Paidós.	2004	OBLIGATORIA	DISPONIBLE	3	25028
Fundamentos de la intervención psicoterapéutica	401-semestre 1	Kleinke, C. (1998). Principios comunes en psicoterapia. España: Editorial Desclée de Brouwer.	1998	OBLIGATORIA	NO disponible	0	
Inclusión Educativa.	402 – semestre 2						
Electivo Profesional I	402 – semestre 2						
Electivo Profesional II	402 – semestre 2						
Electivo Profesional III	402 – semestre 2						
Electivo Profesional IV	402 – semestre 2						
Electivo Profesional V	402 – semestre 2						
Práctica Profesional I	501 – semestre 1						
Práctica Profesional II	502 – semestre 2						
Optativo I		Alicia Passalacqua, A. C. (s.f.). Psicodiagnóstico : Sistematización de Rorchach y nuevos aportes. Klex.		NO INDICA	NO disponible	0	
Optativo I		Bohm, E. (2001). Manual Psicodiagnóstico del Rorschach. Morata.	2001	NO INDICA	NO disponible	0	
Optativo I		Ceberio, M. (1996). Fenómenos Especiales . Buenos Aires : Ediciones Culturales Universitarias Argentina.	1996	NO INDICA	NO disponible	0	
Optativo I		Gravenhorst, M. (1996). Los fenómenos especiales en Rorschach. Argentina: JVE Psique.	1996	NO INDICA	NO disponible	0	
Optativo I		Hammer, E. (s.f.). Test Proyectivos Gráficos. Buenos Aires: Paidos.		NO INDICA	NO disponible	0	
Optativo I		Juan Dittborn, S. R. (2010). Estucturas psicóticas , limítrofes y neuróticas de la personalidad en el test de Rorschach. Santiago: Mediterráneo.	2010	NO INDICA	NO disponible	0	
Optativo I		Kacero, E. (2009). Rorschach: Transformaciones entre la imagen y la palabra. Buenos Aires: Lugar Editorial.	2009	NO INDICA	NO disponible	0	
Optativo I		Ocampo, M. S., Arceno, M. G., & Pícolo, E. G. (s.f.). Técnicas proyectivas y el proceso Psicodiagnóstico. Buenos Aires: Nueva Visión.		NO INDICA	NO disponible	0	
Optativo I		Rorschach, H. (2000). Psicodiagnóstico: Una prueba diagnóstica basada en la percepción. Mexico: Manual Moderno	2000	NO INDICA	NO disponible	0	
Optativo I		Silvia Querol, M. C. (2005). Test de la Persona bajo la lluvia: Adapatación y aplicación. Argentina: Lugar.	2005	NO INDICA	NO disponible	0	
Optativo I		Silvia Querol, S. A. (2008). Evaluación laboral: Test de la persona bajo la lluvia y análisis grafológicodel relato . Buenos Aires: Lugar.	2008	NO INDICA	NO disponible	0	
Optativo I		Warren., J. N. (s.f.). Manual de interpretación del test casa, arbol, persona. España: Tea Ediciones.		NO INDICA	NO disponible	0	
Optativo I		Weigle, C. (2007). Cómo interpretar el Rorschach: Su articulación con el psicoanálisis. Buenos Aires: Gráfica Printer S.A.	2007	NO INDICA	NO disponible	0	
