BIBLIOGRAFÍA CONSIGNADA EN EL PLAN DE ESTUDIOS - OBLIGATORIA/COMPLEMENTARIA MEDICINA												
												
												
ASIGNATURAS 	SEMESTRE	BIBLIOGRAFIA	TITULO	AUTOR	AÑO	ED.	Nro. Ejemplares	N° EJEMPLARES EN BIBLIOTECA OBLIGATORIA	N° EJEMPLARES EN BIBLIOTECA COMPLEMENTARIA	N° TITULOS EN BIBLIOTECA OBLIGATORIA	N° TITULOS EN BIBLIOTECA COMPLEMENTARIA	Disponibilidad
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Neurología: Principios Básicos	Vergara, E. & Fonck, L.	2012	1a.	0		0			0
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Neurology for the non-neurologist	Weiner et al.	2010	6a.	0		0			0
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Essential Neurology	Wilkinson & Lennox	2005	4a.	0		0			0
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Neurología Fundamental	Yañez, A.	2016	2a.	4		4		1	1
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Neurología	Zarranz, JJ.	2013	5a.	0		0			0
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	The Psychiatric Interview	Carlat D.	2016	4a.	0		0			0
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Shorter Oxford Textbook of Psiquiatría	Cowen et al	2014	6a.	0		0			0
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Psiquiatría Clerkship	Ganti & Kaufman	2016	4a.	0		0			0
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	The Maudsley Handbook of Practical Psiquiatría	Owen et al	2014	6a.	0		0			0
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Oxford Handbook of Clinical Psiquiatría	Semple & Smyth	2013	3a.	0		0			0
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Psychiatric Interviewing: The Art of Understanding	Shea CS.	2017	3a.	1		1		1	1
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Manual de Psiquiatría Infantil: Guía Clínica para Pedíatras y Médicos Generales	Valdivia, Mario	2017		0		0			0
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Introducción a la Psicopatología y a la Psiquiatría	Vallejo Ruiloba J.	2015	8a.	5		5		1	1
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	CIE-10: Trastornos Mentales y del Comportamiento	VVAA	1993	1a.	0		0			0
NEUROCIENCIA CLINICA	6	COMPLEMENTARIA:	Manual Diagnóstico y Estadístico de los Trastornos Mentales DSM5	VVAA	2014	5a.	5		5		1	1
SALUD PUBLICA Y GESTION	6	OBLIGATORIA:	Basic Epidemiology	Beaglehole & Bonita	2006	2a.	5	5		1		1
SALUD PUBLICA Y GESTION	6	OBLIGATORIA:	Medicina Preventiva y Salud Pública de Piédrola Gil	Gestal-Otero & Fernández-Crehuet	2015	12a.	6	6		1		1
SALUD PUBLICA Y GESTION	6	COMPLEMENTARIA:	Promoción de la Salud y Cambio Social	Alvarez-Dardett & Colomer	2015		0		0			0
SALUD PUBLICA Y GESTION	6	COMPLEMENTARIA:	Salud Pública y Educación para la Salud	Frías Osuna, A.	2000		0		0			0
SALUD PUBLICA Y GESTION	6	COMPLEMENTARIA:	Promoción de la Salud: Cómo Construir Vida Saludable	Málaga & Restrepo	2001		2		2		1	1
SALUD PUBLICA Y GESTION	6	COMPLEMENTARIA:	An Introduction to Community & Public Health. Burlington: Jones & Bartlett Learning	Pinger & McKenzie	2014		0		0			0
SALUD PUBLICA Y GESTION	6	COMPLEMENTARIA:	Introduction to Public Health. Burlington: Jones & Bartlett Learning	Schneider, M.	2015		0		0			0
SALUD PUBLICA Y GESTION	6	COMPLEMENTARIA:	Public Health: What it is and how it works. Burlington: Jones & Bartlett Learning	Turnock, B.	2016		0		0			0
INGLES PARA MEDICINA I	6	OBLIGATORIA:	Face2Face. Starter Workbook whith Key	Cunningham G., Redstone, C.	2013	2a.	10	10		1		1
INGLES PARA MEDICINA I	6	OBLIGATORIA:	New Headway. Beginner Student's Book	Soars L.	2013	4a.	10	10		1		1
INGLES PARA MEDICINA I	6	OBLIGATORIA:	English Pronunciation in Use Elementary: Self-Study and Classroom use	Marks J.	2007		12	12		1		1
INGLES PARA MEDICINA I	6	OBLIGATORIA:	Essential Grammar in Use: A Self-Study Reference and Practice Book for Elementary Learners of English	Murphy R.	2015	4a.	18	18		1		1
INGLES PARA MEDICINA I	6	OBLIGATORIA:	Face2Face. Intermediate	Cunningham G., Redstone, C.	2014	2a.	0	0				0
INGLES PARA MEDICINA I	6	OBLIGATORIA:	Medicine I. New York	McCarter	2009		0	0				0
INGLES PARA MEDICINA I	6	OBLIGATORIA:	Touchstone I	McCarthy, M., McCarten, J. & Sandiford, H.	2005	1a.	0	0				0
INGLES PARA MEDICINA I	6	OBLIGATORIA:	English Grammar in Use Elementary	Murphy R.	2014		0	0				0
INGLES PARA MEDICINA I	6	COMPLEMENTARIA:	Longman English Grammar Practice	Alexander, L.G.	1990	11a.	0		0			0
INGLES PARA MEDICINA I	6	COMPLEMENTARIA:	New Headway Video. Beginner	Murphy J.	2003		0		0			0
INGLES PARA MEDICINA I	6	COMPLEMENTARIA:	Grammar in Use. New York	Murphy, R. & Altman, R.	1993		1		1		1	1
BIOETICA APLICADA II	7	OBLIGATORIA:	Casos de Bioética y Derecho. Valencia: Tirant lo Blanch	Andormo & Ivone	2016		0	0				0
BIOETICA APLICADA II	7	OBLIGATORIA:	Kaplan Medical USMLE Medical Ethics. Kaplan: New York	Oneto & Fischer	2009		0	0				0
BIOETICA APLICADA II	7	OBLIGATORIA:	Case Files Medical Ethics and Professionalism	Toy et al	2015		0	0				0
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Worst Case Bioethics: Death, Disaster, and Public Health	Annas, G.	2010		0		0			0
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Procedimientos de Decisión en Etica Clínica	Gracia, D.	2007		0		0			0
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Health Law & Bioethics: Cases	Johnson et al	2009		0		0			0
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Bioethics for Beginners: 60 Cases and Cautions from the Moral Frontier of Healthcare	McGee, G.	2012		5		5		1	1
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Case Studies in Biomedical Research Ethics	Murphy, T.	2004		0		0			0
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Medical Ethics: Accounts of Ground-Breaking Cases	Pence, G.	2016		0		0			0
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Contemporary Bioethics: A Reader with Cases	Randels & Pierce	2009		0		0			0
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Bioética en Ciencias de la Salud	Sanchez, MA.	2013		5		5		1	1
BIOETICA APLICADA II	7	COMPLEMENTARIA:	Bioethics: Principles, Issues and Cases	Vaughn, L.	2016		0		0			0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	OBLIGATORIA:	Essential Anesthesia: from Basics to Clínica	Euliano & Gravenstein 	2004	1a.	0	0				0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	OBLIGATORIA:	Medicina de Urgencias y Emergencias. Guía Diagnóstica y Protocolos de Actuación	Jiménez Murillo y Montero Pérez	2014	5a.	5	5		1		1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	OBLIGATORIA:	Cirugía: Fundamentos para la Práctica Clínico-Quirúrgica	Giménez, M.	2014	1a.	3	3		1		1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	OBLIGATORIA:	Essential Surgery: Problems, Diagnosis and Management	Quíck et al	2014	5a.	5	5		1		1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	OBLIGATORIA:	Clinical Medicine	Kumar & Clark	2017	9a.	5	5		1		1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	OBLIGATORIA:	Oxford Handbook of Clinical Medicine	Ian Wilkinson	2017	10a.	5	5		1		1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	OBLIGATORIA:	Core Radiology	Mandell, J.	2013	1a.	15	15		1		1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	OBLIGATORIA:	ECG Fácil	Hampton, J.	2014	8a.	5	5		1		1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	OBLIGATORIA:	Mosby's Diagnostic and Laboratory Test Reference	Pagana et al	2012	13a.	2	2		1		1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Emergencias y Paciente Crítico	Arancibia y Ugarte	2011	1a.	0		0			0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Manual de Urgencias Medicoquirúrgicas	Caimi y Caimi	2013	2a.	2		2		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Anestesiología Clínica	Herrera et al	2008	3a.	0		0			0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Compendio de Medicina de Urgencias: Guía Terapéutica de Bolsillo	Jiménez Murillo y Montero Pérez	2017	4a.	5		5		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Manual de Urgencias	Rivas Jiménez, M	2016	4a.	9		9		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Principios de Cirugía de Schwartz	Brunicardi et al	2015	10a.	5		5		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Fundamentos del Cuidado Quirúrgico	Burdiles, P.	2011	1a.	2		2		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Semiología Quirúrgica	Carvajal, C.	2016	2a.	5		5		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Current Surgical Diagnosis and Treatment	Doherty, G.M.	2015	14a.	0		0			0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Complicaciones en Cirugía General	Espinoza R.	2011	1a.	1		1		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Cirugía AEC	Parrilla Paricio y Landa García	2010	2a.	0		0			0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Sabiston Textbook of Surgery: The Biological Basis of Modern Surgical Practice	Townsend et al	2017	20a.	5		5		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Semiología Médica: Fisiopatología, Semiotecnia y Propedéutica. Enseñanza-aprendizaje centrada en la persona	Argente & Alvarez	2013	2a.	10		10		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Essentials of Kumar and Clark's Clinical Medicine	Nicola Zammit	2018	6a.	5		5		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Andreoli's and Carpenter's Cecil Essentials of Medicine	Benjamín, I.	2015	9a.	0		0			0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	The Washington Manual of Medical Therapeutics (español)	Bhat et al	2017	35a.	10		10		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Bates Guía de Exploración Física e Historia Clínica	Bickley	2013	11a.	5		5		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Exploración Clínica de McLeod	Douglas et al	2014	13a.	5		5		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Semiología Médica 	Goic et al	2018	4a.	12		12		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Harrison Principios de Medicina Interna T1-2	Kasper, e.a.	2016	19a.	28		28		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Introducción a la Medicina Clínica: Fisiopatología y Semiología	Laso, F.J.	2015	3a.	2		2		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Velázquez Farmacología Básica y Clínica	Lorenzo, e.a.	2008	18a.	5		5		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Evidence Based Physical Diagnosis	McGee, S.	2018	4a.	5		5		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Manual de Patología General. Sisinio de Castro	Pérez Arellano, A.J.	2013	7a.	5		5		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Exploración Clínica Práctica de Noguer-Balcells	Prieto Valtueña, JM	2016	28a.	5		5		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Differential Diagnosis	Raftery et al	2014	4a.	0		0			0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Medicina Interna de Farreras Rozman T1-2	López., R.	2016	18a.	12		12		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Semiología Médica y Técnica Exploratoria	Surós y Surós	2001	8a.	2		2		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Davidson's Principles and Practice of Medicine	Walker, e.a.	2014	22a.	5		5		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	ECG en la Práctica	Hampton, J.	2014	6a.	5		5		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Radiología Básica: Aspectos Fundamentales	Herring, W.	2016	3a.	8		8		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Making Sence of the ECG: A Hands-On Guide	Houghton & Gray	2014	4a.	5		5		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Laboratory Medicine Diagnosis of Disease in Clinical Laboratory	Laposata, M.	2014	2a.	0		0			0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA II	7	COMPLEMENTARIA:	Radiology 101: The Basics & Fundamentals of Imaging	Smith & Farrell	2014	4a.	0		0			0
TRAUMATOLOGIA Y ORTOPEDIA	7	OBLIGATORIA:	Traumatología, Ortopedia y Medicina Física	Martínez R., A., Erstnes B., G.	2014	3a.	0	0				0
TRAUMATOLOGIA Y ORTOPEDIA	7	OBLIGATORIA:	Ortopedia y Traumatología	Miller M.	2009	5a.	0	0				0
TRAUMATOLOGIA Y ORTOPEDIA	7	OBLIGATORIA:	Traumatología y Ortopedia para el Grado en Medicina	Marco, F.	2015		0	0				0
TRAUMATOLOGIA Y ORTOPEDIA	7	OBLIGATORIA:	Diagnóstico y Tratamiento en Ortopedia	Skinner HB et al	2014	5a.	4	4		1		1
TRAUMATOLOGIA Y ORTOPEDIA	7	OBLIGATORIA:	Ortopedia: Fundamentos	Sam W. Wiesel, John N. Delahay, Marc C. Connell	1994		0	0				0
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Actualizaciones en Cirugía Ortopédica y Traumatología 1, 2, 3 y 4	American Academy of Orthopedic Surgeons (AAOS)	1994		0		0			0
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Manual de Ortopedia y Traumatología	Gasic Brzovic, Miguel	1998	2a.	0		0			0
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Netter Ortopedia	Greene, WB	2007		0		0			0
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Traumatología y Ortopedia para el Grado en Medicina	Marco Martínez y Urda Martínez-Aedo	2005	1a.	0		0			0
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Introducción a la Traumatología y Cirugía Ortopédica	Munuera Martínes, L.	2005		0		0			0
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Radiographic Evaluation of Common Pediatric Elbow Injuries. Orthopedic Review (Pavia) 2017 Feb 20; 9(1): 7030. Published online 2017 Feb 20 doi: 10.4081/or2017.7030	DeFroda. Steven F, Hansen. Heather, Gil. Joseph A, Hawari. Ashraf H, Cruz. Aristides I. Jr.	2017		0		0			0
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Osteoarthritis: toward a comprehensive understanding of pathological mechanism Bone Researc 5, Article number 16044	Di Chen, Jie Shen, Weiwei Zhao, Tingyu Wang, Lin Han, John L Hamilton & Hee-Jeong Im	2017		0		0			0
TRAUMATOLOGIA Y ORTOPEDIA	7	COMPLEMENTARIA:	Classification of long bone fractures in children acta orthopedic. Apr 88(2): 121-122. Published online feb 8 2017 doi: 10.1080/17453674.2017.128932	Hvid Ivan, Parsch Klaus	2017		0		0			0
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Bases, Prioridades y Desafíos de la Promoción de Salud. Santiago. Chile	Albala, C, et al	2004		0	0				0
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Alimentos, Composición y Propiedades	Astiasarán, I & Martínez, J.A.	1999		0	0				0
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Crecimiento Humano y Enfermedad Coronaria. En Impacto del Crecimiento y Desarrollo Temprano sobre la Salud y Bienestar de la Población	Barker, D.	2009	1a.	0	0				0
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Tratado de Nutrición	Gil Hernández, A.	2010	2a.	4	4		1		1
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	La Epidemia de la Obesidad y las Mujeres. Género y Salud en Cifras	González de León, D. et al	2009		0	0				0
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Nutrición y Dietética Clínica	Salas-Salvado J. et al	2008	2a.	0	0				0
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Nutrición y Dietoterapia de Krause	Mahan, L.K.& Escott-Stump, S	2004	11a.	0	0				0
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Nutrición y Alimentación Humana	Mataix, J.	2002		2	2		1		1
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Nutriguía: Manual de Nutrición Clínica	Requejo, A. & Ortega, O.	2015	2a.	4	4		1		1
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Dietoterapia, Nutrición Clínica y Metabolismo	Román, D.	2010		1	1		1		1
NUTRICION Y VIDA SANA	7	OBLIGATORIA:	Educación Alimentaria. Principios para lograr una Alimentación Correcta. Tradiciones Alimentarias Regionales por recrear y Aprovechar hoy y Mañana	Salas, L.	2012		0	0				0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Enfermedades Periódicas que Detienen el Crecimiento de la Población y la Base del Alimento del Pueblo Mexicano. En ensayo político sobre el Reino de la Nueva España	Alejandro, H.	1992		0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Alimentación y Dietoterapia	Cervera, P.e.	2004	4a.	0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Estrategia Global contra la Obesidad	EGO-Chile, M.d.	2006		0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Incorporating Nutrition Considerations into Development Policies and Programmes	FAO	2004		0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Alternativas Tecnológicas no Transgénicas para el Mejoramiento y la Producción Sustentable del Maíz en México	Marielle, C.e.	2013		0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	División de Salud de las Personas. Atención Primaria	Ministerio de Salud	1997		0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Orientaciones y Lineamientos Programa Vida Sana	Ministerio de Salud	2015		0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Programa Norma Técnica de los Programas Alimentarios	Ministerio de Salud	2016		0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Norma para la Evaluación Nutricional de Niños, Niñas y adolescentes de 5 añoa a 19 años	Ministerio de Salud	2016		0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	División de Salud de las Personas. El Modelo de Atención	Ministerio de Salud	1998		0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Guía para una Vida Saludable	Ministerio de Salud	2003		0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Guía para una Vida Saludable	Minsal, Mineduc, Vida Chile, Chile Deportes, Inta, Universidad de Chile	2003		0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Tablas de Composición de Alimentos	Moreiras, O. (s.f.)		12a.	0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Intervención Nutricional a través del ciclo Vital para la Prevención de la Obesidad u otras Enfermedades Crónicas no Transmisibles	OPS/OMS, M.	2005		0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Uso del Etiquetado Nutricional para una Alimentación Saludable. Manual de Consulta para profesionales de la Salud	Pizarro, F. et al	2006		0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Fisiopatología Aplicada a la Nutrición	Planas, M. y P.	2002		0		0			0
NUTRICION Y VIDA SANA	7	COMPLEMENTARIA:	Alimentación y Nutrición	Vazquez, C.	2005	2a.	0		0			0
SEMESTRE VII							110	11	0	4	0	1
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	OBLIGATORIA:	Métodos de Investigación Aplicados a la Atención Primaria de Salud	Argimón Pallás, J. & Jiménez Villa, J.	1994	2a.	0	0				0
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	OBLIGATORIA:	Métodos de Análisis Multivariante	Cuadras, C.	1991	2a.	0	0				0
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	OBLIGATORIA:	Multivariate Analysis	Dillon, W. & Goldstein, M.	1984		0	0				0
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	OBLIGATORIA:	Metodología de la Investigación	Hernández, S. et al	2014	6a.	25	25		1		1
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	OBLIGATORIA:	Estadística para Biología y Ciencias de la Salud	Milton, J. & Tsokos J.O.	2001	3a.	3	3		1		1
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	COMPLEMENTARIA:	Estadística para Biología y Ciencias de la Salud	Milton, S.	2007		0		0			0
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	COMPLEMENTARIA:	Investigación y Etica en la Formación de Especialistas Médicos en Chile: un debate pendiente. Calidad en la Educación	Miranda, C. et al	2008		0		0			0
SEMINARIO PARA LA INVESTIGACION EN SALUD	7	COMPLEMENTARIA:	Pruebas Diagnósticas. Cad Aten Primaria.	Pita-Fernández, S. & Pértegas-Díaz, S.	2003		0		0			0
SEMESTRE VII							280	28	0	2	0	1
INGLES PARA MEDICINA II	7	OBLIGATORIA:	Face2Face. Starter Workbook whith Key	Cunningham G., Redstone, C.	2013	2a.	10	10		1		1
INGLES PARA MEDICINA II	7	OBLIGATORIA:	New Headway. Beginner Student's Book	Soars L.	2013	4a.	10	10		1		1
INGLES PARA MEDICINA II	7	OBLIGATORIA:	English Pronunciation in Use Elementary: Self-Study and Classroom use	Marks J.	2007		12	12		1		1
INGLES PARA MEDICINA II	7	OBLIGATORIA:	Essential Grammar in Use: A Self-Study Reference and Practice Book for Elementary Learners of English	Murphy R.	2015	4a.	18	18		1		1
INGLES PARA MEDICINA II	7	OBLIGATORIA:	Face2Face. Intermediate	Cunningham G., Redstone, C.	2014	2a.	0	0				0
INGLES PARA MEDICINA II	7	OBLIGATORIA:	Medicine I. New York	McCarter	2009		0	0				0
INGLES PARA MEDICINA II	7	OBLIGATORIA:	Touchstone I	McCarthy, M., McCarten, J. & Sandiford, H.	2005	1a.	0	0				0
INGLES PARA MEDICINA II	7	OBLIGATORIA:	English Grammar in Use Elementary	Murphy R.	2014		0	0				0
INGLES PARA MEDICINA II	7	COMPLEMENTARIA:	Longman English Grammar Practice	Alexander, L.G.	1990	11a.	0		0			0
INGLES PARA MEDICINA II	7	COMPLEMENTARIA:	New Headway Video. Beginner	Murphy J.	2003		0		0			0
INGLES PARA MEDICINA II	7	COMPLEMENTARIA:	Grammar in Use. New York	Murphy, R. & Altman, R.	1993		1		1		1	1
SEMESTRE VII							501	50	1	4	1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Essential Anesthesia: from Basics to Clínica	Euliano & Gravenstein 	2004	1a.	0	0				0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Medicina de Urgencias y Emergencias. Guía Diagnóstica y Protocolos de Actuación	Jiménez Murillo y Montero Pérez	2014	5a.	5	5		1		1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Cirugía: Fundamentos para la Práctica Clínico-Quirúrgica	Giménez, M.	2014	1a.	3	3		1		1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Lecture Notes: Urology	Kaisary et al	2016	7a.	0	0				0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Clinical Medicine	Kumar & Clark	2017	9a.	5	5		1		1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Oxford Handbook of Clinical Medicine	Ian Wilkinson	2017	10a.	5	5		1		1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Core Radiology	Mandell, J.	2013	1a.	15	15		1		1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	ECG Fácil	Hampton, J.	2014	8a.	5	5		1		1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Mosby's Diagnostic and Laboratory Test Reference	Pagana et al	2012	13a.	2	2		1		1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Rheumatology: A Clinical Handbook	Al-Sukani et al	2014	1a.	0	0				0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Oncología Clínica	Cruz Hernández et al	2012	5a.	0	0				0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Hematología: Manual Básico Razonado	San Miguel y Sánchez Guijo	2015	4a.	0	0				0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	COMPLEMENTARIA:	Emergencias y Paciente Crítico	Arancibia y Ugarte	2011	1a.	0		0			0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	COMPLEMENTARIA:	Manual de Urgencias Medicoquirúrgicas	Caimi y Caimi	2013	2a.	2		2		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	COMPLEMENTARIA:	Anestesiología Clínica	Herrera et al	2008	3a.	0		0			0
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	COMPLEMENTARIA:	Compendio de Medicina de Urgencias: Guía Terapéutica de Bolsillo	Jiménez Murillo y Montero Pérez	2017	4a.	5		5		1	1
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	COMPLEMENTARIA:	Manual de Urgencias	Rivas Jiménez, M	2016	4a.	9		9		1	1
