RESUMEN DE BIBLIOGRAFÍA CONSINADA (LIBROS)									
									
									
Tipo de Bibliografía	Titulos consignados	Titulos disponibles en Btca.	% de cobertura						
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Oncología Clínica	Cruz Hernández et al	2012	5a.	0	0	Mismo titulo
PROYECTO DE INVESTIGACION EN SALUD I	8	COMPLEMENTARIA:	Publishing and Presenting Clinical Research	Browner, W.	2015	3a.	0		
PROYECTO DE INVESTIGACION EN SALUD I	8	COMPLEMENTARIA:	Publishing your Medical Research	Byrne, D.	2017	2a.	0		
PROYECTO DE INVESTIGACION EN SALUD I	8	COMPLEMENTARIA:	Epidemiología Aplicada	De Irala, J.	2008	2a.	0		
PROYECTO DE INVESTIGACION EN SALUD I	8	COMPLEMENTARIA:	Metodología de Investigación en Ciencias Médicas: Introducción Práctica para Estudiantes	Duartge, O. &. Y.	2012	1a.	0		
PROYECTO DE INVESTIGACION EN SALUD I	8	COMPLEMENTARIA:	Introduction to Research and Medical Literature for Health Professionals	Foriste, B. &.	2013	3a.	0		
PROYECTO DE INVESTIGACION EN SALUD I	8	COMPLEMENTARIA:	How to Write a Paper	Hall, G.	2012	5a.	0		
PROYECTO DE INVESTIGACION EN SALUD I	8	COMPLEMENTARIA:	Designing and Managing Your Research Project: Core Skills for Social and Health Research	Hodges & Tomas	2011	1a.	0		
PROYECTO DE INVESTIGACION EN SALUD I	8	COMPLEMENTARIA:	Biomedical Research: from Ideation to Publication	Jagaadesh et al	2010	1a.	0		
PROYECTO DE INVESTIGACION EN SALUD I	8	COMPLEMENTARIA:	Epidemiology: Beyond the Basics	Nieto & Szklo	2014	1a.	0		
PROYECTO DE INVESTIGACION EN SALUD I	8	COMPLEMENTARIA:	Foundations of Clinical Research: Applications to Practice	Watkins & Portney	2015	3a.	0		
MEDICINA PREVENTIVA	9		Jekel's Epidemiology, Biostatistics, Preventive Medicine, and Public Health	Katz et al	2014	4a.	0	0	
MEDICINA PREVENTIVA	9		Promoción de la Salud y Cambio Social	Colomer y Alvarez-Dardett	2015		0		
MEDICINA PREVENTIVA	9		Salud Pública y Educación para la Salud	Frías Osuna, A	2000		0		
MEDICINA PREVENTIVA	9		Manual de Buena Práctica en Cuidados a las Personas Mayores	Gil Gregorio, P	2015	1a.	0		
MEDICINA PREVENTIVA	9		An Introduction to Community & Public Health. Burlington. Jones & Bartlett Learning	McKenzie & Pinger	2014		0		
TRAUMATOLOGIA Y ORTOPEDIA	7	OBLIGATORIA:	Ortopedia y Traumatología	Miller M.	2009	5a.	0	0	
TRAUMATOLOGIA Y ORTOPEDIA	7	OBLIGATORIA:	Ortopedia: Fundamentos	Sam W. Wiesel, John N. Delahay, Marc C. Connell	1994		0	0	
ATENCION PRIMARIA Y MEDICINA FAMILIAR	10	OBLIGATORIA:	Oxford Handbook of General Practice	Chantal et al	2014	4a.	0	0	
INTERNADO DE MEDICINA FAMILIAR COMUNITARIA	13	OBLIGATORIA:	Oxford Handbook of General Practice	Chantal, e.a.	2014		0	0	Mismo titulo
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Patologías de la Pared Torácica en Pediatría	Acastello Eduardo	2012		0	0	
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Pediatría Extrahospitalataria. Aspectos Básicos en Atención Primaria	Muñoz Calvo M.T.	2001	3a.	0	0	
MEDICINA FISICA Y REHABILITACION	8	OBLIGATORIA:	Physical Medicine & Rehabilitation Secrets	O'Young et al	2007	3a.	0	0	
INTRODUCCION A LA MEDICINA Y PROCEDIMIENTOS	3	OBLIGATORIA:	Procedimientos Clínicos de Enfermería	Jamieson et. Al	2014	5a.	0	0	
BIOETICA	3	OBLIGATORIA:	Procedimientos de Decisión en Etica Clínica	Gracia, D.	2007		0	0	Mismo titulo
BIOETICA APLICADA I	6	OBLIGATORIA:	Procedimientos de Decisión en Etica Clínica	Gracia, D.	2007		0	0	Mismo titulo
PEDIATRIA Y CIRUGIA INFANTIL	9	COMPLEMENTARIA:	Pediatría para Estudiantes de Medicina	Bernstein D, Shelov SP.	2012	3a.	0		
PEDIATRIA Y CIRUGIA INFANTIL	9	COMPLEMENTARIA:	Diagnóstico y Tratamiento de la Neumonía Adquirida en la Comunidad en Pacientes de 3 meses a 18 años en el primer y segundo nivel de atención. Evidencias y Recomendaciones. Catálogo Maestro de Guías de Práctica Clínica	CENECET	2015		0		
PEDIATRIA Y CIRUGIA INFANTIL	9	COMPLEMENTARIA:	Atlas de Cirugía	Sabiston D.	1996		0		
PEDIATRIA Y CIRUGIA INFANTIL	9	COMPLEMENTARIA:	Atlas de Cirugía Pediátrica	Valoria J.	1996		0		
PEDIATRIA Y CIRUGIA INFANTIL	9	COMPLEMENTARIA:	Texto Ilustrado de Pediatría	Lissauer T, Clayden G.	2009	3a.	0		
PSICOLOGIA MEDICA	4	OBLIGATORIA:	Psicología Médica	De la Fuente	2008		0	0	
MEDICINA LABORAL / TOXICOLOGIA	9	COMPLEMENTARIA:	Principios Fundamentales de Salud y Seguridad en el Trabajo	Alli, B.	2009	2a.	0		
MEDICINA LABORAL / TOXICOLOGIA	9	COMPLEMENTARIA:	Prevención de Accidentes Laborales para Médicos	Ceballos Atienza, R.	2015		0		
MEDICINA LABORAL / TOXICOLOGIA	9	COMPLEMENTARIA:	Los Riesgos de Trabajo y sus Repercusiones	Fernández, R.	2009	1a.	0		
MEDICINA LABORAL / TOXICOLOGIA	9	COMPLEMENTARIA:	A Textbook of Modern Toxicology	Hodgson, Ernest	2010	4a.	0		
MEDICINA LABORAL / TOXICOLOGIA	9	COMPLEMENTARIA:	Textbook of Occupational Medicine Practice	Koh & Aw.	2017	4a.	0		
MEDICINA LABORAL / TOXICOLOGIA	9	COMPLEMENTARIA:	Definiciones en Salud en el Trabajo. (Documento elaborado para la asignatura Introducción a la Medicina)	Nava, R.	2015		0		
MEDICINA LABORAL / TOXICOLOGIA	9	COMPLEMENTARIA:	Estrés Laboral  (Documento elaborado para la asignatura Introducción a la Medicina)	Nava, R.	2015		0		
MEDICINA LABORAL / TOXICOLOGIA	9	COMPLEMENTARIA:	Intoxicaciones Agudas. Bases para el Tratamiento en un Servicio de Urgencias	Nogue-Xaraus S.	2010		0		
MEDICINA LABORAL / TOXICOLOGIA	9	COMPLEMENTARIA:	Posturas y Movimientos de Alto Riesgo: Enfoque Ergonómico	Oliva, E.	2007		0		
MEDICINA LABORAL / TOXICOLOGIA	9	COMPLEMENTARIA:	Modern Medical Toxicology	Pillay, VV	2013	3a.	0		
MEDICINA LABORAL / TOXICOLOGIA	9	COMPLEMENTARIA:	Toxicología Ambiental y Ocupacional. Colección Biblioteca de Ciencias de la Salud	Rojas, M.	2011		0		
PSICOLOGIA MEDICA	4	OBLIGATORIA:	Psicología Médica	Florenzano, R. y Zegers, B.	2003		0	0	Mismo titulo
PSICOLOGIA MEDICA	4	OBLIGATORIA:	Psicología Médica Salud Mental	Cortese, Elisa	2004	2a.	0	0	
OFTALMOLOGIA	9	COMPLEMENTARIA:	Fundamentos de Oftalmología	Alezzandrini, A.	2003	3a.	0		
OFTALMOLOGIA	9	COMPLEMENTARIA:	Oftalmología Clínica	Kanski J.	2012	7a.	0		
OFTALMOLOGIA	9	COMPLEMENTARIA:	Diagnóstico Clínico en Oftalmología	Kanski J.	2007		0		
OFTALMOLOGIA	9	COMPLEMENTARIA:	Objetive Assessment of Skills in Intraocular Surgery (OASIS). Ophthalmology. 112:1236-1241	Cremers AL, Bowers J., et al	2005		0		
OFTALMOLOGIA	9	COMPLEMENTARIA:	Currículo de Residencia en Oftalmología Basado en Competencias: más que sólo palabras. Oftalmología Clínica y Experimental	Palis, A.G.	2010		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	OBLIGATORIA:	Psiquiatría Essentials for Primary Care	Schneider, & L.	2007		0	0	
PROYECTO DE INVESTIGACION EN SALUD II	9	COMPLEMENTARIA:	Publishing and Presenting Clinical Research	Browner, W.	2015	3a.	0		
PROYECTO DE INVESTIGACION EN SALUD II	9	COMPLEMENTARIA:	Publishing your Medical Research	Byrne, D.	2017	2a.	0		
PROYECTO DE INVESTIGACION EN SALUD II	9	COMPLEMENTARIA:	Epidemiología Aplicada	De Irala, J.	2008	2a.	0		
PROYECTO DE INVESTIGACION EN SALUD II	9	COMPLEMENTARIA:	Metodología de Investigación en Ciencias Médicas: Introducción Práctica para Estudiantes	Duartge, O. &. Y.	2012	1a.	0		
PROYECTO DE INVESTIGACION EN SALUD II	9	COMPLEMENTARIA:	Introduction to Research and Medical Literature for Health Professionals	Foriste, B. &.	2013	3a.	0		
PROYECTO DE INVESTIGACION EN SALUD II	9	COMPLEMENTARIA:	How to Write a Paper	Hall, G.	2012	5a.	0		
PROYECTO DE INVESTIGACION EN SALUD II	9	COMPLEMENTARIA:	Designing and Managing Your Research Project: Core Skills for Social and Health Research	Hodges & Tomas	2011	1a.	0		
PROYECTO DE INVESTIGACION EN SALUD II	9	COMPLEMENTARIA:	Biomedical Research: from Ideation to Publication	Jagaadesh et al	2010	1a.	0		
PROYECTO DE INVESTIGACION EN SALUD II	9	COMPLEMENTARIA:	Epidemiology: Beyond the Basics	Nieto & Szklo	2014	1a.	0		
PROYECTO DE INVESTIGACION EN SALUD II	9	COMPLEMENTARIA:	Foundations of Clinical Research: Applications to Practice	Watkins & Portney	2015	3a.	0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	OBLIGATORIA:	Psiquiatría para la Atención Primaria y el Médico General: Depresión, Ansiedad y Somatización	Acuña, R. e.	2009		0	0	
ATENCION PRIMARIA Y MEDICINA FAMILIAR	10	COMPLEMENTARIA:	Medicina Familiar y Práctica Ambulatoria	Kopitowski et al	2016	3a.	0		
ATENCION PRIMARIA Y MEDICINA FAMILIAR	10	COMPLEMENTARIA:	Medicina Ambulatoria del Adulto: Programa de Medicina Familiar y Comunitaria	Montero, L.	2001	1a.	0		
ATENCION PRIMARIA Y MEDICINA FAMILIAR	10	COMPLEMENTARIA:	Family Practice: Ambulatory Practice and Prevention	Smith & Shimp	2014	6a.	0		
ATENCION PRIMARIA Y MEDICINA FAMILIAR	10	COMPLEMENTARIA:	Andreoli's and Carpenter's Cecil Essentials of Medicine	Benjamín, I.	2015	9a.	0		
ATENCION PRIMARIA Y MEDICINA FAMILIAR	10	COMPLEMENTARIA:	Oncología Clínica	Cruz Hernández et al	2012	5a.	0		
ATENCION PRIMARIA Y MEDICINA FAMILIAR	10	COMPLEMENTARIA:	Geriatría	D'Hyver & Gutierrez	2014	3a.	0		
ATENCION PRIMARIA Y MEDICINA FAMILIAR	10	COMPLEMENTARIA:	Manual de Buena Práctica en Cuidados a las Personas Mayores	Gil Gregorio, P	2015	1a.	0		
ATENCION PRIMARIA Y MEDICINA FAMILIAR	10	COMPLEMENTARIA:	Geriatría para el Médico Familiar	Gutiérrez et al	2012	1a.	0		
ATENCION PRIMARIA Y MEDICINA FAMILIAR	10	COMPLEMENTARIA:	Ham's Primary Care Geriatrics: A Case-Based Approach	Ham et al	2014	6a.	0		
ATENCION PRIMARIA Y MEDICINA FAMILIAR	10	COMPLEMENTARIA:	Step-up to Geriatrics	King & Lipsky	2017		0		
ATENCION PRIMARIA Y MEDICINA FAMILIAR	10	COMPLEMENTARIA:	Laboratory Medicine Diagnosis of Disease in Clinical Laboratory	Laposata, M.	2014	2a.	0		
ATENCION PRIMARIA Y MEDICINA FAMILIAR	10	COMPLEMENTARIA:	Geriatría y Gerontología	Marín Larraín PP.	2015	3a.	0		
ATENCION PRIMARIA Y MEDICINA FAMILIAR	10	COMPLEMENTARIA:	Differential Diagnosis	Raftery et al	2014	4a.	0		
PSICOLOGIA MEDICA	4	OBLIGATORIA:	Psychological Basis of Psiquiatría	Thambirajah M.	2005		0	0	
QUIMICA GENERAL Y ORGANICA	1	OBLIGATORIA:	Química Orgánica: Conceptos y Aplicaciones	Bailey, P. S., & Bailey, C. A.	1998		0	0	
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	Valoración Médica del Daño Corporal	Hernández, C.	2001	2a.	0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	Handbook of Forensic Medicine. Oxford	Madea B.	2014		0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	Knight's Forensic Pathology	Saukko P., Knight, B.	2004	3a.	0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	Oxford Handbook of Forensic Medicine	J. Wyatt, T. Squires, G. Norfolk, J. Payne-James	2011		0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	Lecciones de Medicina Legal	Humberto Giugni	2000		0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	Medicina Legal	Vargas Alvarado, E.	2014	5a.	0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	Procedimiento Pericial Médico-Forense. Normas que lo rigen y los derechos humanos	García Garduza, I.	2012	4a.	0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	Tanatología Médico Forense. La Fragilidad de la Existencia Humana	García Arellano, JF.	2015	1a.	0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	Manual de Patología Forense	Di Maio, V., Dana, S.	2003		0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	La Violencia de Género: Aspectos Médico-Legales y Juridíco-Penales	Rodríguez Calvo MS, Vazquez-Portomeñe F.	2013		0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	La Violencia contra la Mujer: Abordaje Asistencial, Médico-Legales y Juridíco	Rodríguez Calvo MS, Vazquez-Portomeñe F.	2014		0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	La Violencia contra la Mujer y otras Víctimas Vulnerables	Rodríguez Calvo MS	2015		0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	Handbook of Analytical Separations. V. 2: Forensic Science	Bogusz, M.J.	2008		0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	Medical Toxicology	Dart, R. C.	2004	3a.	0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	Principles of Forensic Toxicology	Levine, B.	2010	3a.	0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	Fundamentals of Forensic DNA Typing	Butler, JM	2010		0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	Encoded Evidence: DNA in Forensic Analysis. Nat Rev Genet 5(10):739-51	Jobling MA, Gill P	2004		0		
MEDICINA LEGAL Y FORENSE	10	COMPLEMENTARIA:	Improving Human Forensic Through Advances in Genetics, Genomics and Molecular Biology. Nat Rev Genet 12(3):179-92	Kayser M., de Knijff P.	2011		0		
INTEGRADO DE MEDICINA INTERNA Y CIRUGIA III	8	OBLIGATORIA:	Rheumatology: A Clinical Handbook	Al-Sukani et al	2014	1a.	0	0	
GINECOLOGIA Y OBSTETRICIA	10		Williams Gynecology	Bradshaw, Karen D., Corton, Marlene M., Halvorson, Lisa M., Hoffman, Barbara L., Schaffer, Marlene., & Schorge, John O.	2016	3a.	0	0	
GINECOLOGIA Y OBSTETRICIA	10		Maternal-Fetal Medicine: Principles and Practice	Creasy & Resnick	2013	7a.	0		
GINECOLOGIA Y OBSTETRICIA	10		Current Diagnosis & Treatment Obstetrics & Gynecology	Dechernety et al	2013	11a.	0		
GINECOLOGIA Y OBSTETRICIA	10		Obstetrics: Normal and Problem a Pregnancies	Gabbe et al	2017	7a.	0		
GINECOLOGIA Y OBSTETRICIA	10		Williams Ginecología	Hoffman, B. et al	2014	2a.	0		
GINECOLOGIA Y OBSTETRICIA	10		Gynecology by Ten Teachers	Kenny & Bickerstaff	2017	20a.	0		
GINECOLOGIA Y OBSTETRICIA	10		Comprehensive Gynecology	lobo et al	2016	7a.	0		
GINECOLOGIA Y OBSTETRICIA	10		Casos Clínicos en Ginecología y Obstetricia	Matorras y Remohi	2011	1a.	0		
GINECOLOGIA Y OBSTETRICIA	10		Tratado de Ginecología y Obstetricia de la SEGO	Roura y Rodríguez	2017	1a.	0		
GINECOLOGIA Y OBSTETRICIA	10		Yen & Jaffe's Reproductive Endocrinology: Physiology, Pathophysiology, and Clinical Management	Strauss & Barbieri	2013	7a.	0		
FISIOPATOLOGIA I	4	OBLIGATORIA:	Robbins y Cotran Atlas de Anatomía Patológica	Edward, C. Klatt, R.	2016	3a.	0	0	
PEDIATRIA Y CIRUGIA INFANTIL	9	OBLIGATORIA:	Salud y Enfermedad del Niño y del Adolescente	Martínez y Martínez, R.	2013	7a.	0	0	
GERIATRIA	10	COMPLEMENTARIA:	Geriatría	D'Hyver & Gutierrez	2014	3a.	0		
GERIATRIA	10	COMPLEMENTARIA:	Manual de Buena Práctica en Cuidados a las Personas Mayores	Gil Gregorio, P	2015	1a.	0		
GERIATRIA	10	COMPLEMENTARIA:	Geriatría para el Médico Familiar	Gutiérrez et al	2012	1a.	0		
GERIATRIA	10	COMPLEMENTARIA:	Ham's Primary Care Geriatrics: A Case-Based Approach	Ham et al	2014	6a.	0		
GERIATRIA	10	COMPLEMENTARIA:	Essential Clinical Geriatrics	Kane et al	2013	7a.	0		
GERIATRIA	10	COMPLEMENTARIA:	Práctica de la Geriatría	Rodríguez & Lazcano	2011	3a.	0		
GERIATRIA	10	COMPLEMENTARIA:	Oxford Case Histories in Geriatric Medicine	Thompson et al	2015	1a.	0		
GERIATRIA	10	COMPLEMENTARIA:	Emergencias y Paciente Crítico	Arancibia & Ugarte	2011	1a.	0		
GERIATRIA	10	COMPLEMENTARIA:	Andreoli's and Carpenter's Cecil Essentials of Medicine	Benjamín, I.	2015	9a.	0		
GERIATRIA	10	COMPLEMENTARIA:	Oncología Clínica	Cruz Hernández et al	2012	5a.	0		
GERIATRIA	10	COMPLEMENTARIA:	Current Surgical Diagnosis and Treatment	Doherty, G.M.	2015	14a.	0		
GERIATRIA	10	COMPLEMENTARIA:	Lecture Notes: Urology	Kaisary et al	2016	7a.	0		
GERIATRIA	10	COMPLEMENTARIA:	Laboratory Medicine Diagnosis of Disease in Clinical Laboratory	Laposata, M.	2014	2a.	0		
GERIATRIA	10	COMPLEMENTARIA:	Differential Diagnosis	Raftery et al	2014	4a.	0		
GERIATRIA	10	COMPLEMENTARIA:	Radiology 101: The Basics & Fundamentals of Imaging	Smith & Farrell	2014	4a.	0		
ENFERMEDADES INFECCIOSAS	5	OBLIGATORIA:	Schaechter, Mecanismos de las enfermedades microbianas	Engleberg, N.C.	2013		0	0	
GERIATRIA	10	OBLIGATORIA:	Step-up to Geriatrics	King & Lipsky	2017		0	0	Mismo titulo
OTORRINOLARINGOLOGIA	10	COMPLEMENTARIA:	Práctica de la ORL y Cirugía de Cabeza y Cuello	Arrieta, P. & Prado, C.	2012	1a.	0		
OTORRINOLARINGOLOGIA	10	COMPLEMENTARIA:	Essential Otolaryngology	Chan & Goddard	2015	1a.	0		
OTORRINOLARINGOLOGIA	10	COMPLEMENTARIA:	Manual de Otorrinolaringología. Internet Medical Publishing	Montila, M. 	2014		0		
OTORRINOLARINGOLOGIA	10	COMPLEMENTARIA:	Otolaryngology Cases	Pensak, M.	2017	2a.	0		
OTORRINOLARINGOLOGIA	10	COMPLEMENTARIA:	ORL y Patología Cervical	Poch, J.	2006	1a.	0		
OTORRINOLARINGOLOGIA	10	COMPLEMENTARIA:	ORL: Manual Clínico	SEOR, S.E.-F.	2011	2a.	0		
OTORRINOLARINGOLOGIA	10	COMPLEMENTARIA:	ENT: An Introduction and Practical Guide	Tysome, K. &.	2012	1a.	0		
PROYECTO DE INVESTIGACION EN SALUD I	8	OBLIGATORIA:	Study Design and Statistical Analysis: A Practical Guide for Clinicians	Katz, M.H.	2006		0	0	
INTERNADO DE MEDICINA INTERNA	11	COMPLEMENTARIA:	Emergencias y Paciente Crítico	Arancibia y Ugarte	2011	1a.	0		
INTERNADO DE MEDICINA INTERNA	11	COMPLEMENTARIA:	Andreoli's and Carpenter's Cecil Essentials of Medicine	Benjamín, I.	2015	9a.	0		
INTERNADO DE MEDICINA INTERNA	11	COMPLEMENTARIA:	The Washington Manual of Medical Therapeutics	Bhat et al	2016		0		
INTERNADO DE MEDICINA INTERNA	11	COMPLEMENTARIA:	Differential Diagnosis	Raftery et al	2014	4a.	0		
INTERNADO DE MEDICINA INTERNA	11	COMPLEMENTARIA:	Laboratory Medicine Diagnosis of Disease in Clinical Laboratory	Laposata, M.	2014	2a.	0		
INTERNADO DE MEDICINA INTERNA	11	COMPLEMENTARIA:	Radiology 101: The Basics & Fundamentals of Imaging	Smith & Farrell	2014	4a.	0		
PROYECTO DE INVESTIGACION EN SALUD II	9	OBLIGATORIA:	Study Design and Statistical Analysis: A Practical Guide for Clinicians	Katz, M.H.	2006		0	0	Mismo titulo
PSICOPATOLOGIA  MEDICA	5	OBLIGATORIA:	Texto Introductorio de Psiquiatría	Black & Andreasen	2015	6a.	0	0	
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Texto Introductorio de Psiquiatría. El Manual Moderno	Black, &.A.	2015		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Psiquiatría	Burton, N.	2016		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	The Psychiatric Interview	Carlat, D.	2016		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Psiquiatría in Primary Care	Casey, &.B.	2011		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Fish's Clinical Psychopathology	Casey, &.K.	2007		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Shorter Oxford Textbook of Psiquiatría	Cowen, e.a.	2014		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Introducción a la Psicopatología	Eguiluz, U.I.	2013		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Psicopatología Clínica de Fish	Fish, F.	1986		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Psiquiatría Clerkship	Ganti, &.K.	2016		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Primary Care Mental Health	Gask, e.a.	2009		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Lippincott's Primary Care Psiquiatría	McCarron, e.a.	2018		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Substance Use Disorders: A Guide for the Primary Care Provider	Milhorn, H.	2017		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Mental Health for Primary Care: A Practical Guide for Non-Specialists	Morris, &.R.	2009		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	The Maudsley Handbook of Practical Psiquiatría	Owen, e.a.	2014		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Oxford Handbook of Clinical Psiquiatría	Semple, &.S.	2013		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Libro de Casos: Promoción de la Salud Mental desde la Atención Primaria	Tizón, G.e.	2016		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Manual de Psiquiatría Infantil: Guía Clínica para Pediatras y Médicos Generales	Valdivia, M.	2017		0		
INTERNADO DE PSIQUIATRIA Y SALUD MENTAL	11	COMPLEMENTARIA:	Trastornos Mentales y del Comportamiento	VV.AA. CIE-10	1993		0		
NEUROCIENCIA CLINICA	6	OBLIGATORIA:	Texto Introductorio de Psiquiatría. El Manual Moderno, Edición DSM-5	Black & Andreasen	2015	6a.	0	0	
INTERNADO DE CIRUGIA Y ESPECIALIDADES QUIRURGICAS	12	COMPLEMENTARIA:	Emergencias y Paciente Crítico	Arancibia y Ugarte	2011	1a.	0		
INTERNADO DE CIRUGIA Y ESPECIALIDADES QUIRURGICAS	12	COMPLEMENTARIA:	Anestesiología Clínica	Herrera, e.a.	2008		0		
INTERNADO DE CIRUGIA Y ESPECIALIDADES QUIRURGICAS	12	COMPLEMENTARIA:	Diagnóstico y Tratamientos Quirúrgicos	Doherty, G.M.	2011		0		
INTERNADO DE CIRUGIA Y ESPECIALIDADES QUIRURGICAS	12	COMPLEMENTARIA:	Current Surgical Diagnosis and Treatment	Doherty, G.M.	2015	14a.	0		
INTERNADO DE CIRUGIA Y ESPECIALIDADES QUIRURGICAS	12	COMPLEMENTARIA:	Cirugía AEC	Parrilla, P.	2010		0		
INTERNADO DE CIRUGIA Y ESPECIALIDADES QUIRURGICAS	12	COMPLEMENTARIA:	Sabiston Tratado de Cirugía: Fundamentos Biológicos de la Práctica Quirúrgica Moderna	Townsend et al	2013		0		
INTERNADO DE CIRUGIA Y ESPECIALIDADES QUIRURGICAS	12	COMPLEMENTARIA:	Laboratory Medicine Diagnosis of Disease in Clinical Laboratory	Laposata, M.	2014	2a.	0		
INTERNADO DE CIRUGIA Y ESPECIALIDADES QUIRURGICAS	12	COMPLEMENTARIA:	Radiology 101: The Basics & Fundamentals of Imaging	Smith & Farrell	2014	4a.	0		
SOCIOLOGIA MEDICA	6	OBLIGATORIA:	The New Blackwell Companion to Medical Sociology	Cockerham, C. William	2010		0	0	
INTERNADO DE TRAUMATOLOGIA	12		Manual de Ortopedia y Traumatología	Gasic, B.M.	1998		0	0	
INTERNADO DE TRAUMATOLOGIA	12		Netter Ortopedia	Greene, W.	2007		0	0	
INTERNADO DE TRAUMATOLOGIA	12		Ortopedia. Fundamentos	Wiesel, SD.	1994		0	0	
INTERNADO DE TRAUMATOLOGIA	12	COMPLEMENTARIA:	Tratado de Cirugía	Balibrea, J.	1994		0		
INTERNADO DE TRAUMATOLOGIA	12		Radiographic Evaluation of Common Pediatric Elbow Injuries. Orthopedic Review	Defroda. Steven F,H.H.	2017		0		
INTERNADO DE TRAUMATOLOGIA	12		Osteoarthritis: Toward a Comprehensive Understanding of Pathological Mechanism	Di Chen, J.S.-J.	2017		0		
INTERNADO DE TRAUMATOLOGIA	12		Tratado de Patología y Clínica Quirúrgicas	Duran, H.	1990		0		
INTERNADO DE TRAUMATOLOGIA	12		Classification of Long Bone Fractures in Children. Acta Orthopedic. 121-122	Hvid, I.P.	2017		0		
INTERNADO DE TRAUMATOLOGIA	12		Fundamentos de Ortopedia y Traumatología	López-Alonso, A.	1999		0		
INTERNADO DE TRAUMATOLOGIA	12		Traumatología y Ortopedia	López-Durán, L.	1987		0		
INTERNADO DE TRAUMATOLOGIA	12		Traumatología y Ortopedia	Sanchez-Martin, M.	1987		0		
INGLES PARA MEDICINA I	6	OBLIGATORIA:	Touchstone I	McCarthy, M., McCarten, J. & Sandiford, H.	2005	1a.	0	0	
INGLES PARA MEDICINA II	7	OBLIGATORIA:	Touchstone I	McCarthy, M., McCarten, J. & Sandiford, H.	2005	1a.	0	0	Mismo titulo
TRAUMATOLOGIA Y ORTOPEDIA	7	OBLIGATORIA:	Traumatología y Ortopedia para el Grado en Medicina	Marco, F.	2015		0	0	
INTERNADO DE GINECOLOGIA Y OBSTETRICIA	12	COMPLEMENTARIA:	Current Diagnosis & Treatment Obstetrics & Gynecology	Dechernety et al	2013		0		
INTERNADO DE GINECOLOGIA Y OBSTETRICIA	12	COMPLEMENTARIA:	Obstetrics: Normal and Problem a Pregnancies	Gabbe et al	2017		0		
