PLANILLA DE BIBLIOGRAFÍA OBLIGATORIA Y COMPLEMENTARIA DE LOS PROGRAMAS DE ASIGNATURA 2022						
						
CARRERA:  de Licenciatura en Educación y Pedagogía en Inglés						
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE ESTUDIANTES POR ASIGNATURA	CANTIDAD EN BIBLIOTECA  	BIB BIBLIOTECA
	SEMESTRE 7	Harmer, J. (2017) How to teach English. Pearson Longman.	OBLIGATORIA		1	19855
	SEMESTRE 7	Scrivener, J. (2012) Classroom Management Techniques. Cambridge University Press. 	OBLIGATORIA		6	27190
	SEMESTRE 7	"Wallace, M. (1998) Action Research for Language Teachers. Cambridge Teacher Training and Development. Cambridge University Press."	OBLIGATORIA		6	27223
	SEMESTRE 7	"Spratt M., Pulverness A., Williams M. (2011). The TKT Course. Teaching Knowledge Test: Modules 1,2,3. Cambridge: Cambridge University Press."	COMPLEMENTARIA		6	27824
Liderazgo y Administración Educacional	SEMESTRE 8	Liderar la escuela para transformar la educación	NO INDICA	20	0	
Liderazgo y Administración Educacional	SEMESTRE 8	"Hill & Jones (1996). Administración estratégica: un enfoque integrado. Mc Graw Hill. ISLLC (1996, 2000). Interstate School Leaders Licensure Consortium, Standards for School Leaders. London: Jossey-"	OBLIGATORIA		13	18649-10981
	SEMESTRE 8	Carrasco, A. (2008) Investigación en Efectividad y Mejora Escolar. ¿Nueva Agenda? REICE.	COMPLEMENTARIA		0	
Trabajo de Grado	SEMESTRE 8	Schmelkes, C. (1988). Manual para la presentación de anteproyectos e informes de investigación. México: Harla. (clasificación en biblioteca: 001.42 S347)	OBLIGATORIA		1	8910
	SEMESTRE 8	American Psychological Association (2010). Manual de Publicaciones. Tercera edición traducida de la sexta en inglés. México: Manual Moderno	OBLIGATORIA		0	
Trabajo de Grado	SEMESTRE 8	American Psychological Association. (2020). Publication Manual of the American Psychological Association 2020: The Official Guide to APA Style (7th Ed.). American Psychological Association.	OBLIGATORIA		0	
Trabajo de Grado	SEMESTRE 8	Schmelkes, C. (1988). Manual para la presentación de anteproyectos e informes de investigación. México: Harla.	OBLIGATORIA	17	0	8910
Investigación en Inglés como Lengua extranjera	SEMESTRE 8	Doff, A. & Goldstein, B (2011) English Unlimited: C1 Advanced Coursebook Cambridge: Cambridge University Press.	NO INDICA		8	26347
Competencia Comunicativa VIII	SEMESTRE 8	Murphy, R (2004) English Grammar in Use: A self-study reference and practice book for intermediate students of English (3rded). Cambridge University Press.	OBLIGATORIA		22	26240-10050-18172
Competencia Comunicativa VIII	SEMESTRE 8	"Doff, A. & Goldstein, B (2011) English Unlimited: C1 Advanced Coursebook Cambridge: Cambridge University Press."	OBLIGATORIA		8	26347
	SEMESTRE 8	Murphy, R (2004) English Grammar in Use: A self-study reference and practice book for intermediate students of English (3rded). Cambridge University Press.	COMPLEMENTARIA	20	22	26240-10050-18172
Composición Avanzada	SEMESTRE 9	Savage, A& Shafiei, M. (20). Effective Academic Writing 3.  Hedge, T. (2008) Writing, Oxford University Press.	OBLIGATORIA	20	0	
Práctica Profesional I	SEMESTRE 8	Brown, D. (2007). Teaching by Principles. An Interactive Approach to Language Pedagogy. Harlow: Pearson Longman.	OBLIGATORIA	17	3	28426-23996
Práctica Profesional I	SEMESTRE 8	Ur, P. (1996) A course in Language Teaching. Cambridge University Press	OBLIGATORIA	19	4	18216
Práctica Profesional I	SEMESTRE 8	Harmer, J. (2007). How to Teach English. Harlow: Pearson Longman.	OBLIGATORIA	19	1	19855
Práctica Profesional I	SEMESTRE 8	Scrivener, J. (2012). Classroom Management Techniques. Cambridge: Cambridge University Press.	OBLIGATORIA	19	6	27190
Práctica Profesional I	SEMESTRE 8	Wallace, M. (1998) Action Research for Language Teachers. Cambridge Teacher Training and Development	OBLIGATORIA	19	6	27223
Práctica Profesional I	SEMESTRE 8	Spratt M., Pulverness A. & Williams M. (2011).The TKT Course. Teaching Knowledge Test: Modules	COMPLEMENTARIA	19	6	27824
Práctica Profesional II	SEMESTRE 9	Brown, D. (2007). Teaching by Principles. An Interactive Approach to Language Pedagogy. Harlow: Pearson Longman.	OBLIGATORIA	19	3	28426-23996
Práctica Profesional II	SEMESTRE 9	Ur, P. (1996) A course in Language Teaching. Cambridge University Press	OBLIGATORIA	19	4	18216
Práctica Profesional II	SEMESTRE 9	Harmer, J. (2007). How to Teach English. Harlow: Pearson Longman.	OBLIGATORIA	19	1	19855
Práctica Profesional II	SEMESTRE 9	Puchta, H. and Williams, M. (2011). Teaching Young Learners to Think; ELT activities for Young Learners aged 6-12.Helbling Languages.	COMPLEMENTARIA	19	8	27222
Trabajo de Título	SEMESTRE 9	American Psychological Association. (2020). Publication Manual of the American Psychological Association 2020: The Official Guide to APA Style (7th Ed.). American Psychological Association.	OBLIGATORIA	19	0	
Optativo	SEMESTRE 9	Jones, D. (1995). An English Pronouncing Dictionary. Cambridge: Cambridge University Press. 	OBLIGATORIA		5	4268
Optativo	SEMESTRE 9	Hooke, R., Rowell, J. (1982). A handbook of English Pronunciation. Edward Arnold Publisher Ltd. 	OBLIGATORIA		0	
	SEMESTRE 9	Murphy, R (2004) English Grammar in Use: A self-study reference and practice book for intermediate students of English (3rded). Cambridge University Press.	OBLIGATORIA		22	26240-10050-18172
	SEMESTRE 9	Doff, A. & Goldstein, B. (2011). English Unlimited: C1 Advanced Coursebook. Cambridge: Cambridge University Press.	COMPLEMENTARIA		8	26347
Optativo	SEMESTRE 9	Kachru,B. (2008). The Handbook of World Englishes, ed. Hoboken:   John Wiley & Sons.	COMPLEMENTARIA		0	
	SEMESTRE 9	Marks, J. (2007). English Pronunciation in Use Elementary: Self-Study and Classroom Use. Cambridge: Cambridge University Press.	COMPLEMENTARIA		12	27074
						
						
					24	
					1.2	
