 BIBLIOGRAFICA GEOLOGIA							
							
CARRERA:	GEOLOGÍA						
							
							
ASIGNATURA	NIVEL	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	 ESTUDIANTES POR ASIGNATURA	DISPONIBLES EN BTCA	NRO DE BIB# 	Disponibilidad
Exploraciones mineras	501	Parasnis, D. S. (1975). Mining geophysics. In serie: Methods in Geochemistry and Geophysics. Amsterdam: Elsevier Scientific Publishing Company.	OBLIGATORIA		1	1011	1
Exploraciones mineras	501	Peters, W. C. (1987). Exploration and mining geology. New York: John Wiley & Sons.	OBLIGATORIA		4	981	1
Exploraciones mineras	501	Rose, A. W., Hawkes, H. E. & Webb, J. S. (1979). Geochemistry in Mineral Exploration. New York: Academic Press.	OBLIGATORIA		5	10406	1
Exploraciones mineras	501	Ruiz-Fuller, C. & Peebles L. F. (1988). Geología, Distribución y Génesis de los Yacimientos Metalíferos Chilenos. Santiago: Universitaria.	OBLIGATORIA		7	5349	1
Exploraciones mineras	501	Sabins, F. F. (1997). Remote Sensing. Principles and Interpretation. New York: Freeman.	OBLIGATORIA		1	9081	1
Exploraciones mineras	501	Sheriff, R. E. & Geldart, L.P. (1991). Exploración sismológica. Vol.I: Historia, teoría y obtención de datos; Mexico: Noriega Limusa.	OBLIGATORIA		2	12883	1
Exploraciones mineras	501	Sheriff, R. E. & Geldart, L.P. (1991). Exploración sismológica. Vol.II: Procesamiento e interpretación de datos. México: Noriega Limusa.	OBLIGATORIA		2	12883	1
Exploraciones mineras	501	Instituto de Ingenieros de Minas de Chile (1980). Minería de Cobres Porfídicos. - Anales del congreso cincuentenario, 23-29 Nov.1980, Vol. I, II, III (SCL).	COMPLEMENTARIA		3	1056	1
Exploraciones mineras	501	Mirónov, V.S. (1977). Curso de prospección gravimétrica. Barcelona: Reverté.	COMPLEMENTARIA		1	2427	1
Geología de campo II	501	Barnes, J. W. (1991). Basic Geological Mapping. New York: John Wiley & Sons.	OBLIGATORIA		1	26190	1
Geología de campo II	501	McClay, K. R.(1987). The Mapping of Geological Structures. New York: Ed. John Wiley & Sons.	COMPLEMENTARIA		4	26189	1
Hidrogeología II 	501	Appelo, C. y Postma; D.  (2005). Geochemistry, Groundwater and Pollution. Leiden: Balkema.	OBLIGATORIA		0		0
Hidrogeología II 	501	Custodio, E. y Llamas, R. (2001). Hidrología subterránea.  arcelona: Omega.	OBLIGATORIA		10	25761	1
Hidrogeología II 	501	Davis, S. y Wiest, R. (1971). Hidrogeología.  arcelona: Arial.	OBLIGATORIA		1	17	1
Hidrogeología II 	501	Drever, J. (2002). The geochemistry of natural waters. Upper Saddle River, N.J.: Prentice Hall.	OBLIGATORIA		0		0
Hidrogeología II 	501	Fetter, C. (2014). Applied hydrogeology. Essex: Pearson Education.	OBLIGATORIA		0		0
Hidrogeología II 	501	Freeze, R. y Cherry, J. (1982). Groundwater. Englewood Cliffs, N.J.: Prentice-Hall.	OBLIGATORIA		0		0
Hidrogeología II 	501	Merkel, B., Nordstrom, D. y Planer-Friedrich, B. (2008). Groundwater Geochemistry. Berlin,Heidelberg: Springer-Verlag.	OBLIGATORIA		0		0
Hidrogeología II 	501	Domenico, P. y Schwartz, F. (1998). Physical and chemical hydrogeology. New York: Wiley.	COMPLEMENTARIA		0		0
Hidrogeología II 	501	Fitts, C. (2017). Groundwater science. Amsterdam: Elsevier Academic Press.	COMPLEMENTARIA		0		0
Hidrogeología II 	501	Hiscock, K. y Bense, V. (2014). Hydrogeology. Hoboken: Wiley.	COMPLEMENTARIA		0		0
Hidrogeología II 	501	Kasenow, M. (2010). Applied ground-water hydrology and well hydraulics. Highlands Ranch, Colo.: Water Resources Publications.	COMPLEMENTARIA		0		0
Hidrogeología II 	501	Schwartz, F. y Zhang, H. (2003). Fundamentals of ground water. New York: Wiley.	COMPLEMENTARIA		0		0
Geoestadística	501	Emery, X. (2000). Geoestadística lineal. Santiago: Universidad de Chile.	OBLIGATORIA		1	17218	1
Geoestadística	501	Montero, J. M. & Larras, B. (2008). Introducción a la geoestadística lineal. Coruña: Netbiblo	COMPLEMENTARIA		0		0
Geotermia	501	Economides, M. & Ungemach, P. (1987). Applied Geothermics. Nueva York: John Wiley & Sons.	OBLIGATORIA		0		0
Geotermia	501	Goguel, J. (1976). Geothermics (Translated from La Géothermie). Nueva York: McGraw Hill Book Company.	OBLIGATORIA		0		0
Geotermia	501	"Kruger, P. & Otte, C. (Eds) (1973). Geothermal Energy: Resources, Production, Simulation.Stanford, California: Stanford University Press.
"	OBLIGATORIA		0		0
Geotermia	501	Chandrasekharam, D. & Bundschuh, J. (Ed.) (2002). Geothermal Energy Resources for Developing Countries. Lisse, Holanda: A.A. Balkema Publishers.	OBLIGATORIA		0		0
Geotermia	501	Ellis, A.J. & Mahon, W. (1977). Water Chemistry and Geothermal Systems. Londres: Academy Press.	COMPLEMENTARIA		0		0
Geotermia	501	Nicholson, K. (1993). Geothermal Fluids: Chemistry and Exploration Techniques. Berlin: Springer-Verlag.	COMPLEMENTARIA		0		0
Geotermia	501	Arnórsson, S. (Ed) (2000). Isotopic and Chemical Techniques in Geothermal Exploration, Development and Use: Sampling Methods, Data Handling, Interpretation. Viena: International Atomic Energy Agency.	COMPLEMENTARIA		0		0
Geotermia	501	D‟Amore, F. (Ed) (1991). Application of Geochemistry in Geothermal Reservoir development -Series of Technical Guides on the Use of Geothermal Energy. Roma: UNITAR/UNDP Centre on Small Energy Resources.	COMPLEMENTARIA		0		0
Geotermia	501	Chandrasekharam, D. & Bundschuh, J. (2008). Low-Enthalpy Geothermal Resources for Power Generation. Ámsterdam: CRC Press.	COMPLEMENTARIA		0		0
Geología de minas	502	Hartman, H. L. (2002), Introductory mining engineering. New York: John Wiley and Sons.	OBLIGATORIA		1	711	1
Geología de minas	502	Peters, W. (1987), Exploration and mining geology. New York: John Wiley and Sons.	OBLIGATORIA		4	981	1
Geología de minas	502	Emery, X. (2000). Geoestadística lineal., Santiago: Universidad de Chile.	OBLIGATORIA		1	17218	1
Geología de campo III	502	Strahler, (2004). Geología fisica. New York: Harper & Row Publishers.	OBLIGATORIA		61	3082	1
Geología de campo III	502	Barnes, J. W. (1991). Basic geological mapping. New York: John Wiley & Sons.	OBLIGATORIA		1	26190	1
Geología de campo III	502	McClay, K. R. (1987). The mapping of geological structures. New York: Ed. John Wiley & Sons.	OBLIGATORIA		4	26189	1
Riesgos  geológicos	502	IGME (1987), Riesgos geológicos. Santiago: Instituto Geológico y Minero de España.	OBLIGATORIA		6	2776	1
Riesgos  geológicos	502	Keller, E. A. (2011). Environmental geology. Boston: Pearson.	OBLIGATORIA		1	23912	1
Riesgos  geológicos	502	Keller, E. A. & Blodgett, R. H. (2007). Riesgos naturales: Procesos de la tierra como riesgos, desastres y catástrofes. Madrid: Pearson	OBLIGATORIA		3	25561	1
Riesgos  geológicos	502	Strahler, A. N. (1992). Geología fisica. Barcelona: Omega.	OBLIGATORIA		61	3082	1
Riesgos  geológicos	502	Cereceda, P., Errazuriz, A. & Lagos, M. (2011). Terremotos y tsunamis en Chile. Santiago: Origo.	OBLIGATORIA		1	24035	1
Ingeniería geológica	502	 Bieniawski, Z.T. (1989). Engineering rock mass classifications. New York: Wiley-Interscience.	OBLIGATORIA		0		0
Ingeniería geológica	502	Crespo, C. (2004).  Mecánica de suelos y cimentaciones. México: Limusa.	OBLIGATORIA		0		0
Ingeniería geológica	502	Hoek E. & Brown E.T. (1980). Underground Excavations in Rock. London: Institution of Mining and Metallurgy.	OBLIGATORIA		4	977	1
Ingeniería geológica	502	Jaeger, J. C. & Cook, N. G. W. (2008). Fundamentals of rock mechanics. London: Methuen.	OBLIGATORIA		4	19681	1
Ingeniería geológica	502	Juárez, E. & Rodríguez, R. Mecánica de suelos, Tomo I. México: Limusa.	OBLIGATORIA		3	16946	1
Ingeniería geológica	502	Lambe, T. W. & Witman, R. (2004). Mecánica de suelos. México: Limusa.	OBLIGATORIA		3	14415	1
Ingeniería geológica	502	Laubscher, D. H. (1977). Geomechanics classification of jointed rock masses-mining applications.  Transactions of the Institution of Mining and Metallurgy, Section A, Mining industry, 86, PA1-A8.	OBLIGATORIA		0		0
Ingeniería geológica	502	Terzaghi, K. & Peck, R.B. (1978). Mecánica de suelos en la ingeniería práctica, Barcelona: El Ateneo.	OBLIGATORIA		0		0
Ingeniería geológica	502	Brady, B. H. G. & Brown, E. T. (1999), Rock mechanics for underground mining. Kluwer Academic Publishers.	COMPLEMENTARIA		0		0
Ingeniería geológica	502	Terzaghi, K., Peck, R. B. & Mesri, G. (1996). Soil Mechanics in Engineering Practice. New York: John Wiley & Sons, Inc.	COMPLEMENTARIA		0		0
Proyecto de titulación	502	Bunge, M. (1989). La investigación científica: su estrategia y filosofía. Barcelona. España.	OBLIGATORIA		2	2921	1
Proyecto de titulación	502	González., W. (1990). Aspectos metodológicos de la investigación científica: un enfoque multidisciplinario. Universidad Autónoma de Madrid. España	OBLIGATORIA		5	5383	1
Proyecto de titulación	502	Muñoz, I. (2000). La investigación universitaria hacia el siglo XXI: propuestas y desafíos desde las regiones. Ediciones Universidad de Tarapacá	OBLIGATORIA		1	17408	1
Geoquímica geotérmica	502	Arnórsson, S. (Ed) (2000). Isotopic and chemical techniques in geothermal exploration, development and use: sampling methods, data handling, interpretation. Vienna: International Atomic Energy Agency.	OBLIGATORIA		0		0
Geoquímica geotérmica	502	D‟Amore, F. (Coordinator) (1991). Application of Geochemistry in Geothermal Reservoir development - Series of Technical Guides on the Use of Geothermal Energy. Rome: UNITAR/UNDP Centre on Small Energy Resources.	OBLIGATORIA		0		0
Geoquímica geotérmica	502	Drever, J. (2002). The geochemistry of natural waters. Upper Saddle River, N.J.: Prentice Hall.	OBLIGATORIA		0		0
Geoquímica geotérmica	502	Ellis, A. J., Mahon, W. A. J. (1977). Chemistry and Geothermal System. New York: Academic Press.	OBLIGATORIA		0		0
Geoquímica geotérmica	502	Nicholson, K. (1993) Geothermal Fluids: Chemistry and Exploration Techniques. Berlin: Springer-Verlag.	OBLIGATORIA		0		0
Geoquímica geotérmica	502	Albarède, F. (1995). Introduction to Geochemical Modeling. Cambridge: Cambridge University Press, 543 p.	COMPLEMENTARIA		0		0
Geoquímica geotérmica	502	Bethke, C. M. (1996) Geochemical Reaction Modeling: Concepts and Applications. London: Oxford University Press.	COMPLEMENTARIA		0		0
Geoquímica geotérmica	502	Chandrasekharam, D. y Bundschuh, J. (2008). Low-Enthalpy Geothermal Resources for Power Generation. Ámsterdam: CRC Press.	COMPLEMENTARIA		0		0
Geoquímica geotérmica	502	Giggenbach, W. F. y Goguel, R. L. (1989) Collection and analysis of geothermal and volcanic water and gas discharges. Pentone: Chemistry Division, Department of Scientific and Industrial Research.	COMPLEMENTARIA		0		0
Geoquímica geotérmica	502	Kühn, M. (2004). Reactive Flow Modeling of Hydrothermal Systems. Berlin: Springer-Verlag.	COMPLEMENTARIA		0		0
Geoquímica geotérmica	502	Paces, T. (Ed) (1991). Fluid Sampling for Geothermal Prospecting - Series of Technical Guides on the Use of Geothermal Energy. Rome: UNTAR/UNDP Centre on Small Energy Resources.	COMPLEMENTARIA		0		0
Geoquímica geotérmica	502	Pirajno, F.  (2008). Hydrothermal Processes and Mineral Systems, Springer.	COMPLEMENTARIA		0		0
Práctica profesional	601	Lahee, F., (1979). Geología Práctica. Barcelona, España: Ediciones Omega.	OBLIGATORIA		10	2964	1
Práctica profesional	601	McClay, K. (1987): The Mapping of Geological Structures; New York, Estados Unidos: John Wiley and Sons	OBLIGATORIA		4	26189	1
Práctica profesional	601	Strahler, A., (1992). Geología Física.Barcelona, España: Omega ediciones	OBLIGATORIA		61	3082	1
Práctica profesional	601	Watt, A., (1986). Diccionario Ilustrado de la Geología. Madrid. España: Editorial Everest.	COMPLEMENTARIA		0		0
Trabajo de titulación	601	Bunge, M., (1989). La investigación científica: su estrategia y filosofía. México: Siglo Veintiuno Editores.	OBLIGATORIA		2	2921	1
Trabajo de titulación	601	González, W. (1990). Aspectos metodológicos de la investigación científica: un enfoque multidisciplinario. Madrid: Universidad Autónoma de Madrid.	OBLIGATORIA		5	8383	1
Trabajo de titulación	601	Muñoz, I. (2000). La investigación universitaria hacia el siglo XXI: propuestas y desafíos desde las regiones. Arica: Ediciones Universidad de Tarapacá	OBLIGATORIA		1	17408	1
